"","Offense_Type","District","Year","Month","Day_Week","Street","Lat","Long"
"20442","robbery","a1","2017","6","wednesday","bowker st","42.36242887","-71.06054873"
"20443","residential burglary","d4","2017","6","wednesday","peterborough st","42.34280177","-71.1006951"
"20444","robbery","e13","2017","6","wednesday","centre st","42.32283759","-71.10096723"
"20445","aggravated assault","a1","2017","6","wednesday","winter st","42.35602373","-71.06177615"
"20446","robbery","c6","2017","6","wednesday","dorchester st","42.32988785","-71.05638311"
"20447","residential burglary","b2","2017","6","wednesday","winthrop st","42.32562939","-71.0797627"
"20448","residential burglary","e18","2017","6","wednesday","millstone rd","42.23287025","-71.13004959"
"20449","residential burglary","a15","2017","5","friday","dunstable st","42.376852","-71.06887255"
"20450","robbery","b3","2017","6","wednesday","bicknell st","42.29746606","-71.0827431"
"20451","aggravated assault","b2","2017","6","wednesday","greenville st","42.32696802","-71.08051941"
"20452","residential burglary","d14","2017","6","wednesday","pratt st","42.35501072","-71.12887911"
"20453","robbery","c6","2017","6","wednesday","boston st","42.3242096","-71.05979762"
"20454","aggravated assault","e18","2017","6","tuesday","belnel rd","42.26291219","-71.10440503"
"20455","robbery","b2","2017","6","tuesday","martin luther king jr blv","42.31860134","-71.08405792"
"20456","homicide","b3","2017","6","tuesday","delhi st","42.27607035","-71.0896364"
"20457","aggravated assault","b2","2017","6","tuesday","coleus park","42.31072113","-71.07537884"
"20458","residential burglary","c6","2017","6","tuesday","harbor crest ct","42.31961263","-71.04566609"
"20459","residential burglary","e18","2017","6","tuesday","roanoke rd","42.27172197","-71.11188895"
"20460","aggravated assault","b2","2017","6","tuesday","mcgreevey way","42.33499493","-71.09795718"
"20461","aggravated assault","b3","2017","6","friday","ansel rd","42.2864979","-71.09007815"
"20462","aggravated assault","b2","2017","6","tuesday","washington st","42.32925905","-71.08482402"
"20463","residential burglary","d4","2017","6","tuesday","chandler st","42.34649159","-71.07276406"
"20464","residential burglary","d14","2017","6","tuesday","parsons st","42.35557275","-71.15635477"
"20465","aggravated assault","d14","2017","6","tuesday","parsons st","42.35557275","-71.15635477"
"20466","residential burglary","d4","2017","6","tuesday","worcester st","42.34102033","-71.07972113"
"20467","residential burglary","d14","2017","6","monday","commonwealth ave","42.35107111","-71.12570166"
"20468","robbery","e18","2017","6","monday","pierce st","42.25556696","-71.11902026"
"20469","homicide","b3","2017","6","monday","hosmer st","42.28079658","-71.09039724"
"20470","aggravated assault","e13","2017","6","monday","heath st","42.32610077","-71.10433335"
"20471","residential burglary","b3","2017","6","monday","theodore st","42.28406985","-71.0882492"
"20472","robbery","d4","2017","6","monday","lattimore ct","42.33676619","-71.08205122"
"20473","residential burglary","c11","2017","6","monday","homes ave","42.30344073","-71.06674608"
"20474","residential burglary","e18","2017","6","monday","badger rd","42.24159827","-71.1252447"
"20475","robbery","a1","2017","6","sunday","tremont st","42.3572734","-71.0611658"
